overall_rank,group_key,group_rank,group_label,customer_id,customer_name,current_divisions,missing_divisions,top_recommendations,icp_score_cpe,icp_percentile_cpe,icp_grade_cpe,icp_score_solidworks,icp_percentile_solidworks,icp_grade_solidworks,icp_score_printers,icp_percentile_printers,icp_grade_printers,opportunity_score,gross_profit_12m,gross_profit_lifetime,transactions_lifetime,invoices_12m
53,C,20,"C. Owns one (expand into CPE, Solidworks)",45020,43894 International Game Technology,Printers,"CPE, Solidworks","CPE (ICP 0.519, grade B); Solidworks (ICP 0.090, grade A)",0.5192,0.8725,B,0.0895,0.9723,A,0.007,0.9106,A,0.6087,40563.1,40563.1,0,1
54,C,21,"C. Owns one (expand into CPE, Solidworks)",13210425,557314 Serveone America,Printers,"CPE, Solidworks","CPE (ICP 0.519, grade B); Solidworks (ICP 0.090, grade A)",0.5192,0.8725,B,0.0895,0.9723,A,0.007,0.9106,A,0.6087,28951.0,28951.0,0,1
55,C,22,"C. Owns one (expand into CPE, Solidworks)",203966,68933 Dell Products,Printers,"CPE, Solidworks","CPE (ICP 0.455, grade B); Solidworks (ICP 0.082, grade B)",0.4551,0.8617,B,0.0819,0.8655,B,0.0068,0.8385,B,0.537,32093.4,32093.4,0,1
56,C,23,"C. Owns one (expand into CPE, Solidworks)",355300,89489 Valve Software,Printers,"CPE, Solidworks","CPE (ICP 0.455, grade B); Solidworks (ICP 0.082, grade B)",0.4551,0.8617,B,0.0819,0.8655,B,0.0068,0.8385,B,0.537,15300.0,15300.0,0,1
57,C,24,"C. Owns one (expand into CPE, Printers)",14227066,563451 FIGURE AI INC,Solidworks,"CPE, Printers","CPE (ICP 0.455, grade B); Printers (ICP 0.007, grade B)",0.4551,0.8617,B,0.0819,0.8655,B,0.0068,0.8385,B,0.4619,23963.89,23963.89,0,1
58,C,25,"C. Owns one (expand into CPE, Solidworks)",13699174,560449 Auto-Motion Shade Inc.,Printers,"CPE, Solidworks","CPE (ICP 0.344, grade B); Solidworks (ICP 0.057, grade C)",0.3441,0.8449,B,0.0566,0.4747,C,0.0067,0.6657,C,0.4007,52259.0,53380.2,0,1
59,C,26,"C. Owns one (expand into CPE, Solidworks)",5239743,256830 Dakkota Integrated Systems - HQ,Printers,"CPE, Solidworks","CPE (ICP 0.344, grade B); Solidworks (ICP 0.057, grade C)",0.3441,0.8449,B,0.0566,0.4747,C,0.0067,0.6657,C,0.4007,19800.0,19800.0,0,1
60,C,27,"C. Owns one (expand into CPE, Solidworks)",10594594,467653 Weiss-Aug,Printers,"CPE, Solidworks","CPE (ICP 0.317, grade B); Solidworks (ICP 0.077, grade B)",0.317,0.8236,B,0.0767,0.7807,B,0.0068,0.8113,B,0.3936,86502.0,86502.0,0,1
61,C,28,"C. Owns one (expand into CPE, Solidworks)",2859770,"196467 Philips Medical Systems, N.A",Printers,"CPE, Solidworks","CPE (ICP 0.317, grade B); Solidworks (ICP 0.077, grade B)",0.317,0.8236,B,0.0767,0.7807,B,0.0068,0.8113,B,0.3936,55728.0,55728.0,0,1
62,C,29,"C. Owns one (expand into CPE, Solidworks)",5250440,266849 Micropulse Inc,Printers,"CPE, Solidworks","CPE (ICP 0.317, grade B); Solidworks (ICP 0.077, grade B)",0.317,0.8236,B,0.0767,0.7807,B,0.0068,0.8113,B,0.3936,25847.7,25847.7,0,1
63,C,30,"C. Owns one (expand into CPE, Printers)",10580839,455566 SuperATV,Solidworks,"CPE, Printers","CPE (ICP 0.386, grade B); Printers (ICP 0.007, grade C)",0.3857,0.8548,B,0.0566,0.4747,C,0.0067,0.6657,C,0.3924,37873.35,37873.35,0,1
64,C,31,"C. Owns one (expand into CPE, Printers)",7867607,352878 Bestop,Solidworks,"CPE, Printers","CPE (ICP 0.344, grade B); Printers (ICP 0.007, grade C)",0.3441,0.8449,B,0.0566,0.4747,C,0.0067,0.6657,C,0.3508,12369.34,12369.34,0,1
65,C,32,"C. Owns one (expand into CPE, Solidworks)",19123,"18011 Medtronic Vascular, Inc.",Printers,"CPE, Solidworks","CPE (ICP 0.317, grade B); Solidworks (ICP 0.023, grade F)",0.317,0.8236,B,0.023,0.0275,F,0.0066,0.3909,D,0.34,58010.7,59562.45,2,1
66,C,33,"C. Owns one (expand into CPE, Printers)",1165161,"143042 Molded Devices, Inc.",Solidworks,"CPE, Printers","CPE (ICP 0.317, grade B); Printers (ICP 0.007, grade B)",0.317,0.8236,B,0.0767,0.7807,B,0.0068,0.8113,B,0.3238,27062.65,28453.78,0,1
67,C,34,"C. Owns one (expand into CPE, Printers)",14464577,564788 Elevate Healthcare Inc,Solidworks,"CPE, Printers","CPE (ICP 0.317, grade B); Printers (ICP 0.007, grade B)",0.317,0.8236,B,0.0767,0.7807,B,0.0068,0.8113,B,0.3238,16923.81,16923.81,0,1
68,C,35,"C. Owns one (expand into CPE, Printers)",10666694,535277 Lisi Medical Remmele,Solidworks,"CPE, Printers","CPE (ICP 0.317, grade B); Printers (ICP 0.007, grade B)",0.317,0.8236,B,0.0767,0.7807,B,0.0068,0.8113,B,0.3238,14444.39,17044.83,0,1
69,C,36,"C. Owns one (expand into CPE, Solidworks)",36666,35540 Abbott Vascular Inc - Menlo Park,Printers,"CPE, Solidworks","CPE (ICP 0.109, grade B); Solidworks (ICP 0.066, grade C)",0.1085,0.8086,B,0.0657,0.6383,C,0.5742,0.9985,A,0.1742,61476.0,62972.25,1,1
70,C,37,"C. Owns one (expand into CPE, Solidworks)",7872111,357184 Ursa Major,Printers,"CPE, Solidworks","CPE (ICP 0.141, grade B); Solidworks (ICP 0.028, grade F)",0.1411,0.8097,B,0.0285,0.0861,F,0.0066,0.3925,D,0.1696,36056.3,63074.1,1,1
71,C,38,"C. Owns one (expand into CPE, Solidworks)",14323123,564066 Axiom Dental Labs,Printers,"CPE, Solidworks","CPE (ICP 0.095, grade B); Solidworks (ICP 0.051, grade D)",0.0954,0.8073,B,0.0511,0.3416,D,0.0139,0.994,A,0.1465,15379.6,15379.6,0,1
72,C,39,"C. Owns one (expand into CPE, Solidworks)",2865294,198291 Dorman Products Inc,Printers,"CPE, Solidworks","CPE (ICP 0.079, grade B); Solidworks (ICP 0.057, grade C)",0.0791,0.806,B,0.0566,0.4747,C,0.0067,0.6657,C,0.1358,28582.02,28582.02,0,1
73,C,40,"C. Owns one (expand into CPE, Printers)",13964402,"561878 Ollin, Inc.",Solidworks,"CPE, Printers","CPE (ICP 0.118, grade B); Printers (ICP 0.007, grade D)",0.1179,0.8091,B,0.0501,0.3371,D,0.0066,0.2928,D,0.1245,11131.99,12197.47,2,2
74,C,41,"C. Owns one (expand into CPE, Solidworks)",14500375,565003 EIDCA Specialty Products Company,Printers,"CPE, Solidworks","Solidworks (ICP 0.069, grade B); CPE (ICP 0.043, grade B)",0.0428,0.8003,B,0.0693,0.728,B,0.0071,0.9187,A,0.1121,27039.1,27039.1,0,1
75,C,42,"C. Owns one (expand into CPE, Solidworks)",14810275,568983 Fresenius Kabi USA (North Andover Office),Printers,"CPE, Solidworks","Solidworks (ICP 0.087, grade B); CPE (ICP 0.024, grade B)",0.0239,0.7833,B,0.0866,0.8875,B,0.0072,0.9703,A,0.1105,13506.62,13506.62,0,1
76,C,43,"C. Owns one (expand into Solidworks, Printers)",10626687,496100 Dart Container Corp,CPE,"Solidworks, Printers","Solidworks (ICP 0.089, grade A); Printers (ICP 0.007, grade B)",0.0053,0.7257,B,0.0887,0.9336,A,0.0068,0.8518,B,0.0956,77519.27,77519.27,0,1
77,C,44,"C. Owns one (expand into Solidworks, Printers)",14759650,"566832 Tenet 3, LLC",CPE,"Solidworks, Printers","Solidworks (ICP 0.089, grade A); Printers (ICP 0.007, grade C)",0.0,0.0,N/A,0.0887,0.9336,A,0.0067,0.6293,C,0.0954,13681.8,13681.8,0,1
78,C,45,"C. Owns one (expand into CPE, Solidworks)",669419,127061 Nike,Printers,"CPE, Solidworks","Solidworks (ICP 0.089, grade A); CPE (ICP 0.005, grade B)",0.0053,0.7257,B,0.0887,0.9336,A,0.0069,0.8786,B,0.094,434519.0,434519.0,0,1
79,C,46,"C. Owns one (expand into CPE, Solidworks)",10603056,475704 Stahls,Printers,"CPE, Solidworks","Solidworks (ICP 0.089, grade A); CPE (ICP 0.005, grade B)",0.0053,0.7257,B,0.0887,0.9336,A,0.0069,0.8786,B,0.094,403878.0,824208.0,0,1
80,C,47,"C. Owns one (expand into CPE, Solidworks)",10580741,455469 D & W Fine Pack - Ft. Wayne,Printers,"CPE, Solidworks","Solidworks (ICP 0.089, grade A); CPE (ICP 0.005, grade B)",0.0053,0.7257,B,0.0887,0.9336,A,0.0068,0.8518,B,0.094,37468.25,37468.25,0,1
81,C,48,"C. Owns one (expand into CPE, Solidworks)",1720029,158846 511 Tactical,Printers,"CPE, Solidworks","Solidworks (ICP 0.089, grade A); CPE (ICP 0.005, grade B)",0.0053,0.7257,B,0.0887,0.9336,A,0.0069,0.8786,B,0.094,16352.3,16352.3,0,3
82,C,49,"C. Owns one (expand into CPE, Solidworks)",7823127,316252 Floe International,Printers,"CPE, Solidworks","Solidworks (ICP 0.069, grade B); CPE (ICP 0.023, grade B)",0.0234,0.7792,B,0.0693,0.728,B,0.0072,0.9592,A,0.0927,27625.08,29585.77,0,1
83,C,50,"C. Owns one (expand into CPE, Solidworks)",10575672,450806 KAO Brands Company,Printers,"CPE, Solidworks","CPE (ICP 0.058, grade B); Solidworks (ICP 0.034, grade F)",0.0583,0.8041,B,0.0343,0.1855,F,0.0066,0.4908,C,0.0926,23680.56,23680.56,1,1
84,C,51,"C. Owns one (expand into CPE, Solidworks)",7856456,342361 Vortex Optics,Printers,"CPE, Solidworks","Solidworks (ICP 0.087, grade B); CPE (ICP 0.005, grade B)",0.0053,0.7257,B,0.0872,0.8951,B,0.0073,0.9779,A,0.0925,45772.7,45772.7,0,1
85,C,52,"C. Owns one (expand into CPE, Solidworks)",11631962,546157 Penn Fishing Tackle,Printers,"CPE, Solidworks","Solidworks (ICP 0.087, grade B); CPE (ICP 0.005, grade B)",0.0053,0.7257,B,0.0872,0.8951,B,0.0073,0.9779,A,0.0925,12105.3,12105.3,0,1
86,C,53,"C. Owns one (expand into CPE, Solidworks)",10626852,496265 Honeywell FM&T - Kansas City,Printers,"CPE, Solidworks","Solidworks (ICP 0.090, grade A); CPE (ICP 0.000, grade D)",0.0,0.2633,D,0.0903,0.9786,A,0.0066,0.5557,C,0.0903,17184.26,41931.5,32,2
87,C,54,"C. Owns one (expand into CPE, Solidworks)",3625927,224875 Newell Rubbermaid Inc.,Printers,"CPE, Solidworks","Solidworks (ICP 0.087, grade B); CPE (ICP 0.003, grade C)",0.003,0.6667,C,0.0872,0.8951,B,0.0073,0.9779,A,0.0903,18444.01,18444.01,0,1
88,C,55,"C. Owns one (expand into CPE, Solidworks)",10582732,456858 Henschel-Steinau,Printers,"CPE, Solidworks","Solidworks (ICP 0.090, grade A); CPE (ICP 0.000, grade C)",0.0,0.4649,C,0.0895,0.9723,A,0.007,0.9106,A,0.0895,22000.0,22000.0,0,1
89,C,56,"C. Owns one (expand into CPE, Solidworks)",12191,11082 Dinsmore & Associates Inc,Printers,"CPE, Solidworks","Solidworks (ICP 0.089, grade A); CPE (ICP 0.000, grade C)",0.0004,0.5598,C,0.0887,0.9336,A,0.0067,0.6293,C,0.0891,14916.17,120780.65,0,1
90,C,57,"C. Owns one (expand into Solidworks, Printers)",11548465,545206 Proquire LLC,CPE,"Solidworks, Printers","Solidworks (ICP 0.082, grade B); Printers (ICP 0.007, grade B)",0.0,0.0,N/A,0.0819,0.8655,B,0.0068,0.8385,B,0.0888,29238.3,29238.3,0,3
91,C,58,"C. Owns one (expand into CPE, Solidworks)",10594004,467124 Rapid Prototype + Manufacturing (rp+m),Printers,"CPE, Solidworks","Solidworks (ICP 0.089, grade A); CPE (ICP 0.000, grade N/A)",0.0,0.0,N/A,0.0887,0.9336,A,0.0067,0.6293,C,0.0887,42335.5,42335.5,0,1
92,C,59,"C. Owns one (expand into Solidworks, Printers)",5241843,258511 Horstman Inc.,CPE,"Solidworks, Printers","Solidworks (ICP 0.081, grade B); Printers (ICP 0.007, grade A)",0.0,0.3109,D,0.0807,0.8338,B,0.0071,0.9439,A,0.0878,20123.6,34923.6,0,1
93,C,60,"C. Owns one (expand into Solidworks, Printers)",15207328,587938 Mach Industries Inc,CPE,"Solidworks, Printers","Solidworks (ICP 0.081, grade B); Printers (ICP 0.007, grade A)",0.0,0.0,N/A,0.0807,0.8338,B,0.0071,0.9439,A,0.0878,17081.54,17081.54,0,1
94,C,61,"C. Owns one (expand into CPE, Printers)",10597507,470566 Midea America Corp.,Solidworks,"CPE, Printers","CPE (ICP 0.078, grade B); Printers (ICP 0.007, grade B)",0.0782,0.8058,B,0.0887,0.9336,A,0.0069,0.8786,B,0.0851,18566.68,18566.68,0,1
95,C,62,"C. Owns one (expand into CPE, Solidworks)",15268510,588595 Deluxe Technologies (a JVIS Company),Printers,"CPE, Solidworks","Solidworks (ICP 0.082, grade B); CPE (ICP 0.000, grade N/A)",0.0,0.0,N/A,0.0819,0.8655,B,0.0068,0.8385,B,0.0819,23714.8,23714.8,0,1
96,C,63,"C. Owns one (expand into CPE, Solidworks)",14556270,565364 General Atomics Electromagnetic Systems,Printers,"CPE, Solidworks","Solidworks (ICP 0.081, grade B); CPE (ICP 0.000, grade N/A)",0.0,0.0,N/A,0.0807,0.8338,B,0.0071,0.9439,A,0.0807,30969.4,30969.4,0,1
97,C,64,"C. Owns one (expand into CPE, Solidworks)",7841005,328321 Griffin Armament,Printers,"CPE, Solidworks","Solidworks (ICP 0.081, grade B); CPE (ICP 0.000, grade N/A)",0.0,0.0,N/A,0.0807,0.8338,B,0.0071,0.9439,A,0.0807,28305.73,28305.73,0,1
98,C,65,"C. Owns one (expand into CPE, Solidworks)",15079825,583830 Toro Aluminum,Printers,"CPE, Solidworks","Solidworks (ICP 0.081, grade B); CPE (ICP 0.000, grade N/A)",0.0,0.0,N/A,0.0807,0.8338,B,0.0066,0.5361,C,0.0807,27525.4,27525.4,0,3
99,C,66,"C. Owns one (expand into CPE, Solidworks)",11237869,541987 NASA HUNCH - Texas,Printers,"CPE, Solidworks","Solidworks (ICP 0.081, grade B); CPE (ICP 0.000, grade N/A)",0.0,0.0,N/A,0.0807,0.8338,B,0.0071,0.9439,A,0.0807,20147.43,20147.43,0,1
100,C,67,"C. Owns one (expand into CPE, Solidworks)",1907585,163168 The Charles Stark Draper Laboratory,Printers,"CPE, Solidworks","Solidworks (ICP 0.081, grade B); CPE (ICP 0.000, grade N/A)",0.0,0.0,N/A,0.0807,0.8338,B,0.0071,0.9439,A,0.0807,11359.19,11359.19,0,2
